Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

FD2        FIDUCIAL-1X2          3756mil       3765mil       3756mil       3765mil       3756mil       3765mil  T        270.00 FIDUCIAL       
FD3        FIDUCIAL-1X2          3766mil        316mil       3766mil        316mil       3766mil        316mil  T        360.00 FIDUCIAL       
FD1        FIDUCIAL-1X2           300mil       3718mil        300mil       3718mil        300mil       3718mil  T         90.00 FIDUCIAL       
D15        SMA-SM            3596.185mil   3635.425mil   3596.315mil   3635.425mil   3517.315mil   3635.425mil  T        180.00 SK310A-TP      
C21        C0402               576.15mil       3054mil        576mil       3054mil      557.3mil       3054mil  T        360.00 100nF          
R82        R0603             2954.997mil   1630.997mil       2955mil       1631mil   2981.769mil   1630.997mil  T        180.00 4.7K           
R81        R0603             2703.997mil   1629.438mil       2704mil   1629.441mil   2730.769mil   1629.438mil  T        180.00 4.7K           
R74        R0603             2954.997mil   1705.997mil       2955mil       1706mil   2981.769mil   1705.997mil  T        180.00 4.7K           
R80        R0603             2703.997mil   1704.438mil       2704mil   1704.441mil   2730.769mil   1704.438mil  T        180.00 4.7K           
J16        70543-02              2980mil       1863mil       2980mil       1863mil       2930mil       1863mil  T        360.00 C-GRID-02-70543
J15        70543-02              2663mil       1863mil       2663mil       1863mil       2613mil       1863mil  T        360.00 C-GRID-02-70543
D40        SOD523                3080mil       1656mil       3080mil       1656mil       3080mil   1683.559mil  T         90.00 1N4148WT       
D39        SOD523                3030mil       1656mil       3030mil       1656mil       3030mil   1628.441mil  T        270.00 1N4148WT       
D34        SOD523                2779mil   1654.441mil       2779mil   1654.441mil       2779mil   1626.882mil  T        270.00 1N4148WT       
C78        C0402                 2880mil   1649.583mil       2880mil   1649.433mil       2880mil   1630.733mil  T         90.00 100nF          
C74        C0402                 2629mil   1648.024mil       2629mil   1647.874mil       2629mil   1629.174mil  T         90.00 100nF          
C61        C0402              2762.15mil       2100mil       2762mil       2100mil     2743.3mil       2100mil  T        360.00 10nF           
C63        C0402              3107.15mil       2099mil       3107mil       2099mil     3088.3mil       2099mil  T        360.00 10nF           
C66        C0402              3504.15mil       2099mil       3504mil       2099mil     3485.3mil       2099mil  T        360.00 10nF           
C62        C0402              2942.15mil       2100mil       2942mil       2100mil     2923.3mil       2100mil  T        360.00 10nF           
C65        C0402              3336.15mil       2099mil       3336mil       2099mil     3317.3mil       2099mil  T        360.00 10nF           
D1         DO-214AB              2587mil   3821.445mil       2587mil       3821mil       2587mil       3940mil  T         90.00 S3A-13-F       
D22        DO-214AB          2746.555mil       3183mil       2747mil       3183mil       2628mil       3183mil  T        180.00 S3A-13-F       
J9         70543-03              2695mil       2309mil       2695mil       2309mil       2595mil       2309mil  T        360.00 Molex 70543-03 
J10        70543-03            3108.5mil       2309mil     3108.5mil       2309mil     3008.5mil       2309mil  T        360.00 Molex 70543-03 
J11        70543-03              3522mil       2309mil       3522mil       2309mil       3422mil       2309mil  T        360.00 Molex 70543-03 
J6         70543-03              2695mil       2549mil       2695mil       2549mil       2795mil       2549mil  T        180.00 Molex 70543-03 
J8         70543-03              3522mil       2549mil       3522mil       2549mil       3622mil       2549mil  T        180.00 Molex 70543-03 
R83        R0603             3709.003mil   1663.997mil       3709mil       1664mil   3709.003mil   1690.768mil  T        270.00 430r           
D7         SMA-SM                1154mil    3556.87mil       1154mil       3557mil       1154mil       3478mil  T        270.00 B240A-13-F     
D10        SMA-SM                1553mil    3556.87mil       1553mil       3557mil       1553mil       3478mil  T        270.00 B240A-13-F     
D12        SMA-SM                1953mil    3554.87mil       1953mil       3555mil       1953mil       3476mil  T        270.00 B240A-13-F     
D19        SMA-SM             2475.87mil       3563mil       2476mil       3563mil       2397mil       3563mil  T        180.00 B240A-13-F     
J2         70543-02               170mil       3535mil        170mil       3535mil        120mil       3535mil  T        360.00 C-GRID-02-70543
Q2         SOT669             971.496mil   3368.828mil    971.496mil   3397.025mil    896.496mil   3296.631mil  T        360.00 PSMN7R0-60YS,115
Q3         SOT669                1370mil   3368.828mil       1370mil   3397.025mil       1295mil   3296.631mil  T        360.00 PSMN7R0-60YS,115
Q4         SOT669                1771mil   3368.828mil       1771mil   3397.025mil       1696mil   3296.631mil  T        360.00 PSMN7R0-60YS,115
Q5         SOT669            2226.496mil   3288.828mil   2226.496mil   3317.025mil   2151.496mil   3216.631mil  T        360.00 PSMN7R0-60YS,115
R13        R0603              349.997mil   3352.003mil        350mil       3352mil    349.997mil   3325.231mil  T         90.00 1.8K           
R18        R0402                  579mil   3262.051mil        579mil       3262mil        579mil   3243.102mil  T         90.00 10r            
R17        R0402                  648mil   3262.051mil        648mil       3262mil        648mil   3243.102mil  T         90.00 10r            
R4         R0603              775.003mil   3643.003mil        775mil       3643mil    748.231mil   3643.003mil  T        360.00 1.8K           
R16        R0402                  689mil   3261.949mil        689mil       3262mil        689mil   3280.898mil  T        270.00 10r            
R20        R0402             1065.949mil       3200mil       1066mil       3200mil   1084.898mil       3200mil  T        180.00 10r            
R5         R0603             1041.997mil       3647mil       1042mil   3647.003mil   1068.768mil       3647mil  T        180.00 1.8K           
R22        R0402             1351.949mil       3195mil       1352mil       3195mil   1370.898mil       3195mil  T        180.00 100K           
R23        R0402             1463.949mil       3200mil       1464mil       3200mil   1482.898mil       3200mil  T        180.00 10r            
R6         R0603             1444.997mil   3646.997mil       1445mil       3647mil   1471.768mil   3646.997mil  T        180.00 1.8K           
R25        R0402             1754.949mil       3197mil       1755mil       3197mil   1773.898mil       3197mil  T        180.00 100K           
R26        R0402             1869.949mil       3197mil       1870mil       3197mil   1888.898mil       3197mil  T        180.00 10r            
R7         R0603             1844.997mil    3646.99mil       1845mil   3646.994mil   1871.768mil    3646.99mil  T        180.00 1.8K           
R28        R0402                 2075mil   3215.949mil       2075mil       3216mil       2075mil   3234.898mil  T        270.00 100K           
R30        R0402             2389.949mil       3143mil       2390mil       3143mil   2408.898mil       3143mil  T        180.00 10r            
R8         R0603             2395.003mil    3646.99mil       2395mil   3646.987mil   2368.231mil    3646.99mil  T        360.00 1.8K           
