Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
R93        R0402             3822.293mil   1914.992mil   3822.293mil   1914.941mil   3822.293mil   1896.043mil  T         90.00 4.7K           
R92        R0402             3390.029mil    1842.51mil   3390.029mil   1842.459mil   3390.029mil   1823.561mil  T         90.00 2k37           
R91        R0402             3329.624mil   1823.474mil   3329.573mil   1823.474mil   3310.675mil   1823.474mil  T        360.00 2k37           
R90        R0402             3408.086mil   1901.632mil   3408.035mil   1901.632mil   3389.137mil   1901.632mil  T        360.00 4.7K           
R88        R0402             1402.097mil   1438.962mil   1402.097mil   1438.911mil   1402.097mil   1420.013mil  T         90.00 10K            
R86        R0402             2808.798mil   1410.853mil   2808.798mil   1410.802mil   2808.798mil   1391.904mil  T         90.00 10K            
R84        R0402             3517.664mil    1401.71mil   3517.664mil   1401.659mil   3517.664mil   1382.761mil  T         90.00 10K            
R81        R0402             3140.262mil   1837.817mil   3140.211mil   1837.817mil   3121.313mil   1837.817mil  T        360.00 2k37           
R80        R0402             3218.277mil   1915.922mil   3218.226mil   1915.922mil   3199.328mil   1915.922mil  T        360.00 4.7K           
R79        R0402             3664.182mil   2264.421mil   3664.131mil   2264.421mil   3645.233mil   2264.421mil  T        360.00 1k             
